연번 ,구분 ,관리기관명,운영노선명 ,역명,소재지도로명주소 ,소재지지번주소 ,위도 ,경도 ,지상 또는 지하 구분,역층,게이트 내외 구분,(근접) 출입구 번호,상세위치 ,전화번호 ,개방시간 ,화장실 설치장소 유형,오물처리방식 ,남녀공용화장실여부 ,남성용-대변기수 ,남성용-소변기수 ,남성용-장애인용대변기수 ,남성용-장애인용소변기수 ,남성용-어린이용대변기수 ,남성용-어린이용소변기수 ,여성용-대변기수 ,여성용-장애인용대변기수 ,여성용-어린이용대변기수 ,비상벨 설치유무 ,화장실입구cctv설치유무 ,기저귀교환대설치유무-남자화장실 ,기저귀교환대설치유무-남자장애인화장실 ,기저귀교환대설치유무-여자화장실 ,기저귀교환대설치유무-여자장애인화장실 ,리모델링 연도,데이터기준일자
11,공중화장실,서울교통공사,1호선,동묘앞,서울특별시 종로구 종로 359(숭인동),서울특별시 종로구 숭인동 117 동묘앞역(1호선),37.573281,127.016649,지하,1,외부,2,하선승강장 7-3지점, 02-6110-1271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,2,1,,,,1,1,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
12,공중화장실,서울교통공사,1호선,동묘앞,서울특별시 종로구 종로 359(숭인동),서울특별시 종로구 숭인동 117 동묘앞역(1호선),37.573281,127.016649,지하,1,내부,3,상선승강장 4-3지점, 02-6110-1271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,2,1,,,,3,1,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
13,공중화장실,서울교통공사,1호선,신설동,서울특별시 동대문구 왕산로 지하1(신설동),서울특별시 동대문구 신설동 76-5 신설동역(1호선),37.578163,127.034687,지하,1,외부,1,대합실(지하1층) 역무실 앞, 02-6110-1261 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,4,1,,1,,11,1,2,Y,Y,Y,Y,Y,Y,2014,2025-03-13
14,공중화장실,서울교통공사,1호선,제기동,서울특별시 동대문구 왕산로 지하93(제기동),서울특별시 동대문구 제기동 65 제기동역(1호선),37.579984,127.045547,지하,1,외부,2,2번출구우측, 02-6110-1251 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,6,1,,1,,11,1,1,Y,Y,Y,Y,Y,Y,2010,2025-03-13
15,공중화장실,서울교통공사,1호선,청량리,서울특별시 동대문구 왕산로 지하205(전농동),서울특별시 동대문구 전농동 620-69 청량리역(1호선),57.580037,127.044727,지하,1,외부,4,4번출구 아래, 02-6110-1241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,3,,,,,2,,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
16,공중화장실,서울교통공사,2호선,시청,서울특별시 중구 세종대로 지하101(정동),서울특별시 중구 정동 5-5 시청역(1호선),37.563681,126.975598,지하,1,내부,10,"지하1층 9,10번출구 옆", 02-6110-2011 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,4,1,,,,10,1,1,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
17,공중화장실,서울교통공사,2호선,시청,서울특별시 중구 세종대로 지하101(정동),서울특별시 중구 정동 5-5 시청역(1호선),37.563681,126.975598,지하,2,외부,11,지하2층 환승통로, 02-6110-2011 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,,,9,1,1,Y,Y,N,Y,N,Y,2013,2025-03-13
18,공중화장실,서울교통공사,2호선,을지로입구,서울특별시 중구 을지로 지하42(을지로1가),서울특별시 중구 을지로1가 100-1 을지로입구역(2호선),37.566171,126.990203,지하,1,외부,4,지하1층 다게이트 옆, 02-6110-2021 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,6,1,,,,11,1,1,Y,Y,Y,N,Y,N,2009,2025-03-13
19,공중화장실,서울교통공사,2호선,을지로3가,서울특별시 중구 을지로 지하106(을지로3가),서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),37.566489,126.996528,지하,1,외부,2,지하1층 다게이트 옆, 02-6110-2031 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,8,1,,1,,13,1,1,Y,Y,Y,Y,Y,Y,2009,2025-03-13
20,공중화장실,서울교통공사,2호선,을지로4가,서울특별시 중구 을지로 지하178(을지로4가),서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),37.565718,127.008485,지하,1,외부,2,"지하1층 1,2번 출구 옆", 02-6110-2041 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,4,1,,2,,11,1,2,Y,Y,Y,Y,Y,Y,2012,2025-03-13
21,공중화장실,서울교통공사,2호선,동대문역사문화공원,서울특별시 중구 을지로 지하279(을지로7가),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),37.565281,127.01664,지하,1,내부,1,대합실 1층 역무실 앞, 02-6110-2051 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,8,1,,1,,20,1,1,Y,Y,Y,Y,Y,Y,2010,2025-03-13
22,공중화장실,서울교통공사,2호선,신당,서울특별시 중구 퇴계로 지하431-1(신당동),서울특별시 중구 신당동 99 신당역(2호선),37.563933,127.029793,지하,1,외부,2,"대합실 1층 22,23번기둥", 02-6110-2061 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,6,1,,,,13,1,1,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
23,공중화장실,서울교통공사,2호선,상왕십리,서울특별시 성동구 왕십리로 지하374(하왕십리동),서울특별시 성동구 하왕십리동 946-14 상왕십리역(2호선),37.562259,127.037228,지하,1,외부,5 또는6,"대합실 1층 5,6번출구 앞", 02-6110-2071 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,6,1,1,2,,11,1,2,Y,Y,Y,Y,Y,Y, 2008이전 ,2025-03-13
24,공중화장실,서울교통공사,2호선,왕십리,서울특별시 성동구 왕십리로 지하300(행당동),서울특별시 성동구 행당동 192 왕십리역(2호선),37.555259,127.043658,지하,1,외부, 6-1,지하2층 6-1번 출구 쪽, 02-6110-2081 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,,1,,10,1,1,Y,Y,Y,N,Y,N,2009,2025-03-13
25,공중화장실,서울교통공사,2호선,한양대,서울특별시 성동구 왕십리로 206(행당동),서울특별시 성동구 행당동 산17 한양대역(2호선),37.547177,127.04738,지상,2,외부,2,고객센터 맞은편, 02-6110-2091 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,9,1,,1,,15,1,1,Y,Y,Y,Y,Y,Y,2010,2025-03-13
26,공중화장실,서울교통공사,2호선,뚝섬,서울특별시 성동구 아차산로 18(성수동1가),서울특별시 성동구 성수동1가 656-745 뚝섬역(2호선),37.544601,127.056885,지상,2,외부,6,역무실 옆, 02-6110-2101 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,5,1,,2,,12,1,2,Y,Y,Y,Y,Y,Y,2012,2025-03-13
27,공중화장실,서울교통공사,2호선,성수,서울특별시 성동구 아차산로 100(성수동2가),서울특별시 성동구 성수동2가 300-1 성수역(2호선),37.558689,127.053172,지상,2,외부,2,대합실 2층 2번출구측  , 02-6110-2111 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,4,1,,,,12,1,1,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
28,공중화장실,서울교통공사,2호선,건대입구,서울특별시 광진구 아차산로 243(화양동),서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),37.5404075,127.069202,지상,2,내부,2,대합실 1층 통로 중앙, 02-6110-2121 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,7,9,1,,1,,20,1,1,Y,Y,Y,Y,Y,Y,2009,2025-03-13
29,공중화장실,서울교통공사,2호선,구의,서울특별시 광진구 아차산로 384-1(구의동),서울특별시 광진구 구의동 245-24 구의역(2호선),37.5371752,127.08618,지상,2,외부,2,대합실 1층 통로 중앙, 02-6110-2131 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,,,7,1,1,Y,Y,N,Y,N,Y,2022,2025-03-13
30,공중화장실,서울교통공사,2호선,강변,서울특별시 광진구 강변역로 53(구의동),서울특별시 광진구 구의동 546-6 강변역(2호선),37.53511804,127.09474,지상,1,외부,2,대합실 1층 통로 중앙, 02-6110-2141 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,6,1,,1,,14,1,2,Y,Y,Y,Y,Y,Y,2009,2025-03-13
31,공중화장실,서울교통공사,2호선,잠실나루,서울특별시 송파구 오금로 20(신천동),서울특별시 송파구 신천동 15 잠실나루역(2호선),37.52071241,127.1038088,지상,1,외부,2,대합실 1층 통로 중앙, 02-6110-2151 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,4,1,,2,,9,1,2,Y,Y,Y,Y,Y,Y,2010,2025-03-13
32,공중화장실,서울교통공사,2호선,잠실,서울특별시 송파구 올림픽로 지하265(신천동),서울특별시 송파구 신천동 8 잠실역(2호선),37.513311,127.100231,지하,1,외부,1,"대합실 1층 1,2번출구 앞 ", 02-6110-2161 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,7,8,1,,1,,17,1,1,Y,Y,Y,N,Y,N,2009,2025-03-13
33,공중화장실,서울교통공사,2호선,잠실새내,서울특별시 송파구 올림픽로 지하140(잠실동),서울특별시 송파구 잠실동 33 잠실새내역(2호선),37.511626,127.086314,지하,1,외부,2,대합실 1층 2번출구 앞, 02-6110-2171 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,,2,,11,1,2,Y,Y,Y,Y,Y,Y,2010,2025-03-13
34,공중화장실,서울교통공사,2호선,종합운동장,서울특별시 송파구 올림픽로 지하23(잠실동),서울특별시 송파구 잠실동 122 종합운동장역(2호선),37.51114466,127.073849,지하,1,외부,1,"대합실 1층 1,2번출구 앞 (잠실새내측)", 02-6110-2181 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,,2,,10,1,2,Y,Y,Y,Y,Y,Y,2010,2025-03-13
35,공중화장실,서울교통공사,2호선,종합운동장,서울특별시 송파구 올림픽로 지하23(잠실동),서울특별시 송파구 잠실동 122 종합운동장역(2호선),37.51114466,127.073849,지하,1,외부,5,대합실 1층 5번출구 앞 (삼성측), 02-6110-2181 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,7,,,,,5,,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
36,공중화장실,서울교통공사,2호선,삼성,서울특별시 강남구 테헤란로 지하538(삼성동),서울특별시 강남구 삼성동 172-66 삼성역(2호선),37.518622,127.1049,지하,1,외부,3,대합실 1층 통로 중앙, 02-6110-2191 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,9,1,,,,14,1,,Y,Y,N,Y,Y,Y,2009,2025-03-13
37,공중화장실,서울교통공사,2호선,선릉,서울특별시 강남구 테헤란로 지하340(삼성동),서울특별시 강남구 삼성동 172-66 선릉역(2호선),37.517661,127.074659,지하,1,외부,1,대합실 1층 1번출구 앞, 02-6110-2201 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,4,1,,2,,11,1,2,Y,Y,Y,Y,Y,Y,2013,2025-03-13
38,공중화장실,서울교통공사,2호선,역삼,서울특별시 강남구 테헤란로 지하156(역삼동),서울특별시 강남구 역삼동 804 역삼역(2호선),57.50067442,127.0364694,지하,2,외부,3,대합실 2층 통로 중앙, 02-6110-2211 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,,,10,1,,Y,Y,N,Y,N,Y,2022,2025-03-13
39,공중화장실,서울교통공사,2호선,강남,서울특별시 강남구 강남대로 지하396(역삼동),서울특별시 강남구 역삼동 858 강남역(2호선),37.49808634,127.0280014,지하,1,내부,12,"대합실 1층 역무실쪽(1,12번출구쪽),게이트내", 02-6110-2221 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,4,1,,,,9,1,,Y,Y,N,Y,Y,Y,2009,2025-03-13
40,공중화장실,서울교통공사,2호선,교대,서울특별시 서초구 서초대로 지하294(서초동),서울특별시 서초구 서초동 1748-4 교대역(2호선),37.4939,127.0143838,지하,1,외부,4,"대합실 1층 1,2,3,4,번출구 쪽", 02-6110-2231 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,,1,,10,1,1,Y,Y,Y,Y,Y,Y,2017,2025-03-13
41,공중화장실,서울교통공사,2호선,서초,서울특별시 서초구 서초대로 지하233(서초동),서울특별시 서초구 서초동 1748-5 서초역(2호선),37.49184993,127.0076621,지하,1,외부,1,"대합실1층 (1,2,7,8번 출구쪽),게이트외", 02-6110-2241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,1,,9,1,2,Y,Y,Y,Y,Y,Y,2010,2025-03-13
42,공중화장실,서울교통공사,2호선,방배,서울특별시 서초구 방배로 지하80(방배동),서울특별시 서초구 방배동 912-14 방배역(2호선),37.508826,127.063067,지하,1,외부,4,"서초방면 대합실 끝(1,4번 출구방향),게이트외", 02-6110-2251 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,4,1,,,,9,1,,Y,Y,Y,N,Y,N,2009,2025-03-13
43,공중화장실,서울교통공사,2호선,사당,서울특별시 동작구 남부순환로 지하2089(사당동),서울특별시 동작구 사당동 1129 사당역(2호선),37.47656223,126.9815586,지하,1,외부,1,"지하1층 대합실 1,2번 출구 쪽(방배측)", 02-6110-2261 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,,,,,6,,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
44,공중화장실,서울교통공사,2호선,사당,서울특별시 동작구 남부순환로 지하2089(사당동),서울특별시 동작구 사당동 1129 사당역(2호선),37.47656223,126.9815586,지하,1,외부,7,"지하1층 대합실 7,8번 출구 쪽(낙성대측)", 02-6110-2261 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,7,1,,2,,14,1,1,Y,Y,Y,Y,Y,Y,2013,2025-03-13
45,공중화장실,서울교통공사,2호선,낙성대,서울특별시 관악구 남부순환로 지하1928(봉천동),서울특별시 관악구 봉천동 1693-39 낙성대역(2호선),37.47709324,126.9635239,지하,1,외부,5,"대합실 1층 고객안내부스앞(3,4,5,6번출구쪽)", 02-6110-2271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,5,1,,1,,11,1,2,Y,Y,Y,Y,Y,Y,2010,2025-03-13
46,공중화장실,서울교통공사,2호선,서울대입구,서울특별시 관악구 남부순환로 지하1822(봉천동),서울특별시 관악구 봉천동 979-2 서울대입구역(2호선),37.492765,127.010541,지하,1,외부,8,"대합실 1층 (7,8번출구쪽)", 02-6110-2281 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,,2,,8,1,2,Y,Y,Y,Y,Y,Y,2018,2025-03-13
47,공중화장실,서울교통공사,2호선,봉천,서울특별시 관악구 남부순환로 지하1721(봉천동),서울툭별시 관악구 봉천동 979-7 봉천역(2호선),37.481297,126.99732,지하,1,외부,2,"대합실1층, 안내부스맞은편(1,6번출구쪽)게이트외", 02-6110-2291 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,1,,6,1,1,Y,Y,Y,Y,Y,Y,2010,2025-03-13
48,공중화장실,서울교통공사,2호선,신림,서울특별시 관악구 남부순환로 지하1614(신림동),서울특별시 관악구 신림동 1467-10 신림역(2호선),37.48426714,126.9297454,지하,1,내부,4,"대합실 1층 역무실 맞은편(3,4번출구쪽),게이트내", 02-6110-2301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,7,1,,1,,13,1,2,Y,Y,Y,Y,Y,Y,2010,2025-03-13
49,공중화장실,서울교통공사,2호선,신대방,서울특별시 동작구 대림로 2(신대방동),서울특별시 동작구 신대방동 643-1 신대방역(2호선),37.48765046,126.9135075,지상,2,내부,4,"대합실 1층 역무실쪽(1,2번출구쪽), 게이트내", 02-6110-2311 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,4,1,,2,,13,1,2,Y,Y,Y,Y,Y,Y,2011,2025-03-13
50,공중화장실,서울교통공사,2호선,구로디지털단지,서울특별시 구로구 도림천로 477(구로동),서울특별시 구로구 구로동 810-3 구로디지털단지역(2호선),37.477028,126.963396,지상,2,내부,1,"지상2층, 역무실 앞 (게이트내)", 02-6110-2321 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,6,1,,1,1,10,1,,Y,Y,N,Y,N,Y,2019,2025-03-13
51,공중화장실,서울교통공사,2호선,대림,서울특별시 구로구 도림천로 351(구로동),서울특별시 구로구 구로동 1204 대림역(2호선),37.481113,126.952634,지상,2,내부,6,"지상2층, 대합실 중앙(게이트내)", 02-6110-2331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,7,8,1,,,,15,1,,Y,Y,Y,Y,Y,Y,2019,2025-03-13
52,공중화장실,서울교통공사,2호선,신도림,서울특별시 구로구 새말로 지하 117-21(신도림동),서울특별시 구로구 신도림동 460-26 신도림역(2호선),37.482518,126.941481,지하,1,내부,1,"지하1층 대합실 (게이트내, 1번출구방향)", 02-6110-2341 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,8,1,,2,1,14,1,2,Y,Y,Y,Y,Y,Y,2011,2025-03-13
53,공중화장실,서울교통공사,2호선,신도림,서울특별시 구로구 새말로 지하 117-21(신도림동),서울특별시 구로구 신도림동 460-26 신도림역(2호선),37.484178,126.929789,지하,1,외부,1,"지하1층 대합실(게이트외,1번출구방향)", 02-6110-2341 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,8,5,1,,2,1,13,1,2,Y,Y,Y,Y,Y,Y,2011,2025-03-13
54,공중화장실,서울교통공사,2호선,문래,서울특별시 영등포구 당산로 지하28(문래동3가),서울특별시 영등포구 문래동3가 68-1 문래역(2호선),37.48751,126.912991,지하,1,외부,3,"지하1층 대합실(게이트외, 2,3번출구방향)", 02-6110-2351 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,7,1,,,,14,1,,Y,Y,Y,Y,Y,Y,2011,2025-03-13
55,공중화장실,서울교통공사,2호선,영등포구청,서울특별시 영등포구 당산로 지하121(당산동3가),서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),37.485127,126.901529,지하,1,내부,2,"지하1층 대합실(게이트내, 환승통로입구)", 02-6110-2361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,6,1,,2,,14,1,1,Y,Y,N,Y,Y,Y,2009,2025-03-13
56,공중화장실,서울교통공사,2호선,당산,서울특별시 영등포구 당산로 229(당산동6가),서울특별시 영등포구 당산동 6가 323-1 당산역(2호선),37.53478432,126.9026118,지상,2,내부,4,"지상2층, 대합실 중앙(게이트내)", 02-6110-2371 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,4,1,,,,10,1,2,Y,Y,Y,N,Y,Y,2009,2025-03-13
57,공중화장실,서울교통공사,2호선,합정,서울특별시 마포구 양화로 지하55(서교동),서울특별시 마포구 서교동 393 합정역(2호선),37.54991316,126.9144541,지하,1,내부,1,"지하1층대합실, 1,2번출구", 02-6110-2381 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,6,1,,,,16,1,1,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
58,공중화장실,서울교통공사,2호선,홍대입구,서울특별시 마포구 양화로 지하160(동교동),서울특별시 마포구 동교동 165 홍대입구역(2호선),37.514401,126.882685,지하,1,외부,2,"지하1층대합실, 2번출구 옆 ", 02-6110-2391 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,7,8,1,,1,,21,1,1,Y,Y,Y,N,Y,N,2011,2025-03-13
59,공중화장실,서울교통공사,2호선,신촌,서울특별시 마포구 신촌로 지하90(노고산동),서울특별시 마포구 노고산동 31-11 신촌역(2호선),37.512518,126.865711,지하,1,외부,5,"지하1층대합실, 5번출구 옆 ", 02-6110-2401 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,7,1,,,,12,1,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
60,공중화장실,서울교통공사,2호선,이대,서울특별시 마포구 신촌로 지하180(염리동),서울특별시 마포구 염리동 8-85 이대역(2호선),37.518294,126.853619,지하,1,외부,5,지하1층 대합실 5번출구 옆, 02-6110-2411 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,7,1,,2,,13,1,2,Y,Y,Y,Y,Y,Y,2017,2025-03-13
61,공중화장실,서울교통공사,2호선,아현,서울특별시 마포구 신촌로 지하270(아현동),서울특별시 마포구 아현동 354-23 아현역(2호선),37.517887,126.894751,지하,1,외부,4,지하1층 대합실 이대역방면 끝단, 02-6110-2421 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,3,1,,,,6,1,,Y,Y,N,Y,Y,Y,2009,2025-03-13
62,공중화장실,서울교통공사,2호선,충정로,서울특별시 서대문구 서소문로 지하17(충정로3가),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),37.525656,126.896614,지하,2,외부,6,지하2층 아현방면 끝단, 02-6110-2431 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,,,,8,1,,Y,Y,Y,Y,Y,Y,2018,2025-03-13
63,공중화장실,서울교통공사,2호선,신설동,서울특별시 동대문구 왕산로 지하1(신설동),서울특별시 동대문구 신설동 76-5 신설동역(1호선),37.534931,126.90273,지하,1,내부,7,대합실(지하1층) 역무실 옆, 02-6110-1371 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,3,,,,,3,,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
64,공중화장실,서울교통공사,2호선,용두,서울특별시 동대문구 천호대로 지하129(용두동),서울특별시 동대문구 용두동 47-1 용두역(2호선),37.57406213,127.0382757,지하,1,외부,5,(내선대합실)5번출구 입구, 02-6110-1361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,3,1,,,,4,1,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
65,공중화장실,서울교통공사,2호선,용두,서울특별시 동대문구 천호대로 지하129(용두동),서울특별시 동대문구 용두동 47-1 용두역(2호선),37.57406213,127.0382757,지하,1,외부,2,"(외선대합실)1,2번 출구 입구", 02-6110-1361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,3,1,,,,6,1,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
66,공중화장실,서울교통공사,2호선,용두,서울특별시 동대문구 천호대로 지하129(용두동),서울특별시 동대문구 용두동 47-1 용두역(2호선),37.57406213,127.0382757,지하,1,내부,5,(내선승강장)3-3 승강장 앞, 02-6110-1361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,2,,,,,3,,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
67,공중화장실,서울교통공사,2호선,용두,서울특별시 동대문구 천호대로 지하129(용두동),서울특별시 동대문구 용두동 47-1 용두역(2호선),37.57406213,127.0382757,지하,1,내부,2,(외선승강장)2-2 승강장 앞, 02-6110-1361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,2,,,,,3,,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
